Название;Сслыка;Цена;Место;Время с момента публикации
Диван, стенка;https://www.avito.ru//lipetsk/mebel_i_interer/divan_stenka_1976407191;20 000;р-н Советский;1 неделю назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1962984900;1 800;р-н Октябрьский;4 дня назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1206202945;11 000;р-н Советский;2 дня назад
Офисный диван;https://www.avito.ru//lipetsk/mebel_i_interer/ofisnyy_divan_1949435029;3 850;р-н Советский;4 дня назад
Диванчик;https://www.avito.ru//lipetsk/mebel_i_interer/divanchik_1945385439;300;р-н Советский;4 дня назад
Диван с ящиком. Новый;https://www.avito.ru//lipetsk/mebel_i_interer/divan_s_yaschikom._novyy_955314691;6 000;р-н Советский;1 неделю назад
Диван чебурашка;https://www.avito.ru//lipetsk/mebel_i_interer/divan_cheburashka_1981612040;10 000;;2 дня назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1071498399;5 700;р-н Советский;6 дней назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1961263699;48 900;р-н Октябрьский;5 дней назад
Диван-кровать;https://www.avito.ru//lipetsk/mebel_i_interer/divan-krovat_1870833903;27 900;р-н Правобережный;3 дня назад
Кресло Трон диван;https://www.avito.ru//lipetsk/mebel_i_interer/kreslo_tron_divan_1093620980;4 500;р-н Советский;5 дней назад
"Кухонный угол ""Весна 3""";https://www.avito.ru//lipetsk/mebel_i_interer/kuhonnyy_ugol_vesna_3_1963082583;12 300;р-н Октябрьский;2 дня назад
Диван книжка;https://www.avito.ru//lipetsk/mebel_i_interer/divan_knizhka_1102253594;6 700;р-н Советский;2 дня назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1945982338;5 000;р-н Советский;3 недели назад
"Диван-евро книжка ""Престиж""";https://www.avito.ru//lipetsk/mebel_i_interer/divan-evro_knizhka_prestizh_1981559194;16 990;р-н Левобережный;2 дня назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1867442520;26 880;р-н Правобережный;1 день назад
Диван домашняя коллекция;https://www.avito.ru//lipetsk/mebel_i_interer/divan_domashnyaya_kollektsiya_1970158255;50 000;р-н Советский;1 неделю назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1134137949;15 000;р-н Советский;16 июля 09:27
